127.0.0.1 - - [23/Dec/2022:16:05:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:06:12 +0900] "GET /HRD_1234-easy/index.jsp HTTP/1.1" 200 1582
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:06:13 +0900] "GET /HRD_1234-easy/style.css HTTP/1.1" 200 1561
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:06:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:06:19 +0900] "GET /HRD_1234-easy/add HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:06:21 +0900] "GET /HRD_1234-easy/list HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:06:22 +0900] "GET /HRD_1234-easy/result HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:06:25 +0900] "GET /HRD_1234-easy/home HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:08:06 +0900] "GET /HRD_1234-easy/index.jsp HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:08:07 +0900] "GET /HRD_1234-easy/index.jsp HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:08:08 +0900] "GET /HRD_1234-easy/add.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:08:10 +0900] "GET /HRD_1234-easy/list.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:08:12 +0900] "GET /HRD_1234-easy/result.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:08:14 +0900] "GET /HRD_1234-easy/index.jsp HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:10:47 +0900] "GET /HRD_1234-easy/index.jsp HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:10:48 +0900] "GET /HRD_1234-easy/add.jsp HTTP/1.1" 500 2340
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:11:04 +0900] "GET /HRD_1234-easy/add.jsp HTTP/1.1" 500 2340
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:11:14 +0900] "GET /HRD_1234-easy/index.jsp HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:11:15 +0900] "GET /HRD_1234-easy/add.jsp HTTP/1.1" 200 2271
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:11:15 +0900] "GET /HRD_1234-easy/script.js HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:11:45 +0900] "GET /HRD_1234-easy/index.jsp HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:11:46 +0900] "GET /HRD_1234-easy/add.jsp HTTP/1.1" 200 2313
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:19:29 +0900] "GET /HRD_1234-easy/index.jsp HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:19:30 +0900] "GET /HRD_1234-easy/add.jsp HTTP/1.1" 200 2253
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:20:35 +0900] "GET /HRD_1234-easy/index.jsp HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:20:36 +0900] "GET /HRD_1234-easy/index.jsp HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:20:37 +0900] "GET /HRD_1234-easy/index.jsp HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:20:38 +0900] "GET /HRD_1234-easy/add.jsp HTTP/1.1" 200 2253
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:20:40 +0900] "GET /HRD_1234-easy/add.jsp HTTP/1.1" 200 2253
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:20:42 +0900] "GET /HRD_1234-easy/add.jsp HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:20:42 +0900] "GET /HRD_1234-easy/style.css HTTP/1.1" 200 1561
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:20:42 +0900] "GET /HRD_1234-easy/script.js HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [23/Dec/2022:16:20:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
